frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,ip.proto,tcp.flags
"0.000000000",,,,,"60",,
"0.061436100",,,,,"60",,
"0.101381800",,,,,"60",,
"0.101382500",,,,,"60",,
"0.156488900","10.10.212.223","47.246.41.180","61956","443","54","6","0x0011"
"0.156540800","10.10.212.223","47.246.41.180","61956","443","54","6","0x0014"
"0.156626100","10.10.212.223","47.246.41.179","56684","443","54","6","0x0011"
"0.156640400","10.10.212.223","47.246.41.179","56684","443","54","6","0x0014"
"0.156963700","10.10.212.223","47.246.41.177","57209","443","600","6","0x0018"
"0.169525300","47.246.41.180","10.10.212.223","443","61956","60","6","0x0010"
"0.169835700","47.246.41.179","10.10.212.223","443","56684","60","6","0x0010"
"0.170865000","47.246.41.177","10.10.212.223","443","57209","60","6","0x0010"
"0.199055100",,,,,"60",,
"0.300222600",,,,,"60",,
"0.300224300",,,,,"60",,
"0.369128900","47.246.41.177","10.10.212.223","443","57209","920","6","0x0018"
"0.370417900","10.10.212.223","47.246.41.177","57209","443","714","6","0x0018"
"0.370473200","10.10.212.223","47.246.41.177","57209","443","1468","6","0x0018"
"0.435635500","47.246.41.177","10.10.212.223","443","57209","60","6","0x0010"
"0.435636500","47.246.41.177","10.10.212.223","443","57209","60","6","0x0010"
"0.438018900",,,,,"60",,
"0.438019500",,,,,"60",,
"0.538444700","10.10.212.223","13.107.139.11","59452","443","1494","6","0x0010"
"0.538444700","10.10.212.223","13.107.139.11","59452","443","1244","6","0x0018"
"0.538544300","10.10.212.223","13.107.139.11","59452","443","1494","6","0x0010"
"0.538544300","10.10.212.223","13.107.139.11","59452","443","1494","6","0x0010"
"0.538544300","10.10.212.223","13.107.139.11","59452","443","322","6","0x0018"
"0.579433400","47.246.41.177","10.10.212.223","443","57209","1063","6","0x0018"
"0.622568300","10.10.212.223","47.246.41.177","57209","443","54","6","0x0010"
"0.667841500","13.107.139.11","10.10.212.223","443","59452","60","6","0x0010"
"0.667896800",,,,,"60",,
"0.670163000","13.107.139.11","10.10.212.223","443","59452","60","6","0x0010"
"0.670164100","13.107.139.11","10.10.212.223","443","59452","60","6","0x0010"
"0.670164400","13.107.139.11","10.10.212.223","443","59452","60","6","0x0010"
"0.670164800","13.107.139.11","10.10.212.223","443","59452","60","6","0x0010"
"0.917687200",,,,,"60",,
"0.917688100",,,,,"60",,
"0.917688300",,,,,"60",,
"1.100871900",,,,,"60",,
"1.100873500",,,,,"60",,
"1.124760500","13.107.139.11","10.10.212.223","443","59452","1514","6","0x0010"
"1.124762500","13.107.139.11","10.10.212.223","443","59452","1514","6","0x0010"
"1.124762800","13.107.139.11","10.10.212.223","443","59452","74","6","0x0018"
"1.124830600","10.10.212.223","13.107.139.11","59452","443","54","6","0x0010"
"1.166924400","10.10.212.223","52.104.130.53","57362","443","1514","6","0x0010"
"1.166924400","10.10.212.223","52.104.130.53","57362","443","1347","6","0x0018"
"1.203313000",,,,,"60",,
"1.203313500",,,,,"60",,
"1.299986600",,,,,"60",,
"1.310200200",,,,,"60",,
"1.335368000","52.104.130.53","10.10.212.223","443","57362","60","6","0x0010"
"1.398112400",,,,,"60",,
"1.420962700","52.104.130.53","10.10.212.223","443","57362","1514","6","0x0010"
